City,Province,Year,Make,Model,Price,Mileage,URL
Mirabel,QC,2009,Honda,Civic,6995,136000,facebook.com/marketplace/item/1258771028176831/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2007,Honda,Civic,5200,200000,facebook.com/marketplace/item/1485333388963236/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2007,Honda,Civic,3999,166000,facebook.com/marketplace/item/820087409419122/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2013,Honda,Civic,13995,100000,facebook.com/marketplace/item/6327080054075099/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2013,Honda,Civic,10800,156000,facebook.com/marketplace/item/606679684785127/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2010,Honda,Civic,9000,117000,facebook.com/marketplace/item/249804691183528/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Salaberry-de-Valleyfield,QC,2009,Honda,Civic,7500,164000,facebook.com/marketplace/item/1317845058941159/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Joliette,QC,2017,Honda,Civic,21000,137000,facebook.com/marketplace/item/236418969336080/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2005,Honda,Civic,4000,158000,facebook.com/marketplace/item/103305779517524/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2017,Honda,Civic,24000,120000,facebook.com/marketplace/item/1730586354036982/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2018,Honda,Civic,22950,133000,facebook.com/marketplace/item/674735404680616/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Pincourt,QC,2015,Honda,Civic,16477,89000,facebook.com/marketplace/item/797296441946171/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2014,Honda,Civic,14995,102000,facebook.com/marketplace/item/998757161470775/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2016,Honda,Civic,16995,98000,facebook.com/marketplace/item/630311032500239/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2008,Honda,Civic,7991,150000,facebook.com/marketplace/item/708158987789814/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2016,Honda,Civic,19950,148000,facebook.com/marketplace/item/744403890686555/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2016,Honda,Civic,18950,170000,facebook.com/marketplace/item/1034750194574651/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Chateauguay,QC,2015,Honda,Civic,15495,134000,facebook.com/marketplace/item/783053710224210/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2013,Honda,Civic,13995,100000,facebook.com/marketplace/item/823093749344308/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,Civic,18888,105000,facebook.com/marketplace/item/627109439518888/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2016,Honda,Civic,20950,155000,facebook.com/marketplace/item/809695117604124/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,Civic,13999,183000,facebook.com/marketplace/item/1427159338135570/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2018,Honda,Civic,21990,62000,facebook.com/marketplace/item/791984865806359/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
St-Eustache,QC,2019,Honda,Civic,22449,69000,facebook.com/marketplace/item/594151052915273/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2010,Honda,Civic,7495,187000,facebook.com/marketplace/item/203117439396736/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Erin,ON,2008,Honda,Civic,6300,120000,facebook.com/marketplace/item/279775748029840/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ottawa,ON,2018,Honda,Civic,22000,108000,facebook.com/marketplace/item/1580247582507296/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2008,Honda,Civic,1500,133000,facebook.com/marketplace/item/249985777829752/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Drummondville,QC,2018,Honda,Civic,18888,50000,facebook.com/marketplace/item/645492284194570/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ottawa,ON,2012,Honda,Civic,7400,190000,facebook.com/marketplace/item/218080527440365/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ottawa,ON,2007,Honda,Civic,4300,168000,facebook.com/marketplace/item/615931307188939/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ottawa,ON,2017,Honda,Civic,13000,141000,facebook.com/marketplace/item/289006876953882/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Gatineau,QC,2018,Honda,Civic,22200,108000,facebook.com/marketplace/item/1446796432632986/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Rouyn-Noranda,QC,2012,Honda,Civic,12995,79000,facebook.com/marketplace/item/1394206247978064/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2004,Honda,Civic,5400,156000,facebook.com/marketplace/item/234607136152978/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2014,Honda,Civic,10950,168000,facebook.com/marketplace/item/297100906187852/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2015,Honda,Civic,11999,151000,facebook.com/marketplace/item/279354378116784/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2009,Honda,Civic,5700,168000,facebook.com/marketplace/item/223024820228299/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2016,Honda,Civic,15500,154000,facebook.com/marketplace/item/688268943123398/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2007,Honda,Civic,4000,182000,facebook.com/marketplace/item/994367688571773/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2017,Honda,Civic,15000,138000,facebook.com/marketplace/item/133419819761407/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2006,Honda,Civic,4500,100000,facebook.com/marketplace/item/639502464806329/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
